team_abbreviation_home,team_abbreviation_away,lambda_h,actual_home_pts,home_error,lambda_a,actual_away_pts,away_error,home_win
TOR,LAL,113.93278,125.0,11.067222595214844,108.82122,131.0,22.17877960205078,0
CHA,BOS,107.48497,103.0,-4.4849700927734375,112.50988,113.0,0.4901199340820312,0
TOR,SAC,110.95705,131.0,20.042953491210938,107.1457,128.0,20.85430145263672,1
PHI,MEM,110.17592,107.0,-3.1759185791015625,106.36578,124.0,17.63421630859375,0
DAL,ORL,101.85857,108.0,6.1414337158203125,101.65283,85.0,-16.65283203125,1
NOP,ATL,113.58209,111.0,-2.58209228515625,110.719475,126.0,15.280525207519531,0
ATL,BOS,109.69406,93.0,-16.694061279296875,119.29501,123.0,3.704986572265625,0
CHI,UTA,112.96623,126.0,13.033767700195312,108.808815,135.0,26.191184997558597,0
WAS,GSW,111.4673,112.0,0.5326995849609375,121.84516,125.0,3.1548385620117188,0
MIA,SAC,105.8756,110.0,4.124397277832031,109.393875,111.0,1.6061248779296875,0
DAL,IND,112.800606,127.0,14.19939422607422,105.5846,134.0,28.41539764404297,0
BKN,MEM,111.51951,106.0,-5.519508361816406,109.74377,104.0,-5.743766784667969,1
HOU,NYK,110.22053,109.0,-1.2205276489257812,105.47063,97.0,-8.470626831054688,1
DET,LAL,109.05685,115.0,5.943153381347656,110.55051,103.0,-7.550506591796875,1
MIN,CHA,113.58745,114.0,0.4125518798828125,112.61508,93.0,-19.61508178710937,1
OKC,ORL,107.25759,102.0,-5.257591247558594,99.89173,86.0,-13.891731262207031,1
DEN,TOR,114.338455,121.0,6.661544799804688,107.851845,119.0,11.148155212402344,1
PHX,PHI,108.58584,118.0,9.414161682128906,107.12353,116.0,8.876472473144531,1
NOP,POR,114.50863,100.0,-14.508628845214844,106.98039,118.0,11.019607543945312,0
LAC,PHI,107.29289,110.0,2.7071075439453125,108.54298,98.0,-10.542976379394531,1
NOP,CLE,106.060036,122.0,15.939964294433594,108.125946,131.0,22.874053955078125,0
DAL,CHI,108.747765,119.0,10.252235412597656,105.45664,99.0,-6.456642150878906,1
SAC,TOR,117.7833,122.0,4.216697692871094,111.70962,107.0,-4.709617614746094,1
PHX,MIA,106.77404,115.0,8.225959777832031,103.26643,112.0,8.733566284179688,1
BOS,GSW,111.22848,112.0,0.7715225219726562,108.42131,118.0,9.578689575195312,0
MIL,UTA,116.72174,123.0,6.27825927734375,111.38102,100.0,-11.381019592285156,1
CHI,MIN,111.74259,119.0,7.257408142089844,112.009544,135.0,22.990455627441406,0
ORL,NOP,105.13115,115.0,9.868850708007812,108.597336,88.0,-20.597335815429688,1
CLE,GSW,105.64493,136.0,30.35507202148437,110.493484,117.0,6.506515502929688,1
MEM,WAS,118.834625,128.0,9.165374755859377,109.09658,104.0,-5.096580505371094,1
CHA,IND,112.50811,103.0,-9.50811004638672,112.50865,83.0,-29.50865173339844,1
DEN,MIA,105.73635,135.0,29.263648986816406,104.69052,122.0,17.309478759765625,1
LAL,PHI,109.46061,116.0,6.539390563964844,112.48977,106.0,-6.489768981933594,1
LAC,TOR,114.46223,105.0,-9.46222686767578,107.94332,103.0,-4.943321228027344,1
POR,MEM,110.95588,89.0,-21.95587921142578,113.70369,134.0,20.296310424804688,0
LAL,TOR,114.30324,123.0,8.696762084960938,114.91614,103.0,-11.9161376953125,1
DET,HOU,103.62504,99.0,-4.625038146972656,107.74981,101.0,-6.749809265136719,0
MIL,BOS,108.06213,107.0,-1.0621337890625,114.105064,113.0,-1.1050643920898438,0
MIN,MIA,106.42966,94.0,-12.429656982421877,105.02663,95.0,-10.026626586914062,0
OKC,GSW,112.76828,116.0,3.231719970703125,108.39071,127.0,18.60929107666016,0
OKC,LAC,112.434265,134.0,21.56573486328125,106.15232,128.0,21.847679138183597,1
HOU,WAS,115.30173,107.0,-8.301727294921875,106.13303,92.0,-14.133033752441406,1
NOP,BKN,109.99513,105.0,-4.995132446289063,111.09708,107.0,-4.097076416015625,0
BOS,ATL,116.47177,116.0,-0.471771240234375,108.39324,117.0,8.606758117675781,0
SAS,WAS,114.38879,139.0,24.61121368408203,108.290794,130.0,21.709205627441406,1
POR,MIN,110.04487,106.0,-4.044868469238281,115.19522,98.0,-17.195220947265625,1
ORL,IND,111.01511,94.0,-17.015106201171875,109.37854,90.0,-19.3785400390625,1
HOU,LAC,107.28987,125.0,17.710128784179688,103.457275,104.0,0.542724609375,1
SAC,MIN,115.87521,126.0,10.124786376953123,112.105934,130.0,17.894065856933594,0
ATL,WAS,118.99816,129.0,10.001838684082031,119.287735,117.0,-2.2877349853515625,1
NOP,DEN,112.24709,101.0,-11.247093200683594,110.23677,94.0,-16.236770629882812,1
DAL,SAS,111.05815,110.0,-1.0581512451171875,107.870255,93.0,-14.870254516601562,1
NOP,LAL,117.47783,99.0,-18.477828979492188,113.39279,104.0,-9.392791748046877,0
CHI,HOU,105.44759,107.0,1.5524063110351562,107.24389,143.0,35.75611114501953,0
IND,MIA,109.7198,119.0,9.280197143554688,110.46293,110.0,-0.4629287719726562,1
POR,ATL,114.11998,114.0,-0.1199798583984375,114.26542,110.0,-4.265419006347656,1
OKC,DAL,110.89156,119.0,8.108436584472656,110.00416,121.0,10.995841979980469,0
WAS,DET,110.24108,104.0,-6.241081237792969,107.32369,124.0,16.676307678222656,0
CLE,CHA,114.00108,128.0,13.998916625976562,106.47504,114.0,7.52496337890625,1
NYK,BKN,113.22741,114.0,0.7725906372070312,110.37342,104.0,-6.373420715332031,1
SAC,ATL,120.39531,108.0,-12.395309448242188,116.515045,109.0,-7.515045166015625,0
MIL,HOU,109.55094,101.0,-8.550941467285156,109.403625,100.0,-9.40362548828125,1
PHX,ORL,106.340836,99.0,-7.3408355712890625,102.869774,109.0,6.130226135253906,0
MEM,DEN,111.036545,110.0,-1.0365447998046875,102.687706,122.0,19.312294006347656,0
MEM,PHI,113.55577,117.0,3.4442291259765625,103.173065,111.0,7.826934814453125,1
MIL,CHI,113.62136,122.0,8.378639221191406,112.258766,106.0,-6.258766174316406,1
CLE,NOP,112.39379,128.0,15.606208801269531,103.8258,100.0,-3.8257980346679688,1
GSW,ATL,117.49055,120.0,2.5094528198242188,108.27758,97.0,-11.277580261230469,1
LAC,ORL,104.16255,104.0,-0.1625518798828125,102.21925,93.0,-9.219253540039062,1
HOU,IND,115.483795,130.0,14.516204833984377,104.8164,113.0,8.183601379394531,1
PHX,NYK,108.97975,122.0,13.020248413085938,111.88623,138.0,26.11376953125,0
TOR,MIN,113.05455,110.0,-3.054550170898437,112.901985,105.0,-7.901985168457031,1
CHA,DET,100.07466,123.0,22.925338745117188,108.24733,121.0,12.752670288085938,1
LAL,ORL,106.795784,118.0,11.204216003417969,102.47439,119.0,16.525611877441406,0
SAS,UTA,113.78505,126.0,12.214950561523438,108.47245,118.0,9.527549743652344,1
DEN,DAL,112.879,120.0,7.121002197265625,109.49783,123.0,13.502166748046877,0
CHI,ATL,114.91071,136.0,21.08928680419922,114.78503,122.0,7.214973449707031,1
HOU,POR,111.93543,98.0,-13.935432434082031,103.26949,104.0,0.7305068969726562,0
MIL,CHA,117.96237,125.0,7.037628173828125,103.084015,119.0,15.915985107421877,1
UTA,NYK,111.365776,121.0,9.63422393798828,113.0986,106.0,-7.098602294921875,1
BOS,MIN,116.730644,107.0,-9.73064422607422,109.24885,105.0,-4.248847961425781,1
SAC,BKN,115.76504,103.0,-12.765037536621094,107.844025,108.0,0.155975341796875,0
PHI,LAC,108.7765,99.0,-9.776496887207031,106.57892,125.0,18.42108154296875,0
MIA,DAL,107.89104,123.0,15.108963012695312,109.03683,118.0,8.963172912597656,1
ATL,DAL,114.475815,119.0,4.524185180664063,120.73674,129.0,8.263259887695312,0
DEN,NYK,115.14415,118.0,2.8558502197265625,108.04462,145.0,36.95538330078125,0
MEM,POR,113.54651,123.0,9.4534912109375,102.64022,98.0,-4.640220642089844,1
BOS,LAC,113.206406,126.0,12.793594360351562,108.61277,94.0,-14.612770080566406,1
GSW,BKN,115.675316,120.0,4.324684143066406,108.568085,128.0,19.431915283203125,0
WAS,CHI,111.33997,108.0,-3.3399734497070312,115.955086,127.0,11.044914245605469,0
PHX,LAL,117.01598,127.0,9.984016418457031,112.441124,100.0,-12.441123962402344,1
WAS,LAC,105.31604,96.0,-9.3160400390625,116.17635,121.0,4.823646545410156,0
PHI,HOU,103.058556,115.0,11.941444396972656,107.6236,122.0,14.37640380859375,0
SAS,LAL,116.8067,101.0,-15.80670166015625,111.79259,119.0,7.207412719726562,0
PHX,BKN,114.99874,117.0,2.001258850097656,109.586784,127.0,17.41321563720703,0
